datesec,lon,lat,lon025,lat025,lon5,lat5,lon975,lat975,mplon,mplat,id
11/30/2016 05:00,-5.22419025,44.75283889,-5.765558,44.052195,-5.22638,44.7509,-4.672656,45.7190025,-5.28870712328767,44.5031052837573,511603400
12/01/2016 05:00,-4.988397583,44.68391795,-5.504622,43.989995,-4.988605,44.6873,-4.4605995,45.5742175,-4.97778244618395,44.7262209393346,511603400
12/02/2016 05:00,-4.595319582,44.68287655,-5.1261935,44.014395,-4.598005,44.68325,-4.06039275,45.451725,-4.65915790606654,44.5935387475538,511603400
12/03/2016 05:00,-4.48555307,44.70660757,-5.05415375,44.0141925,-4.48725,44.7055,-3.929995,45.5098,-4.51881121330724,44.7775363992172,511603400
12/04/2016 05:00,-4.365891216,44.71747904,-4.9076395,43.8963975,-4.36781,44.73035,-3.812009,45.6949025,-4.39459614481409,44.9011925636008,511603400
12/05/2016 05:00,-4.276685494,44.74173114,-4.82222125,43.8266925,-4.27694,44.75125,-3.7313065,45.7431025,-4.3506788258317,44.9366086105675,511603400
12/06/2016 05:00,-4.445284055,44.7359164,-5.0044515,43.853395,-4.44379,44.74415,-3.8935575,45.6858075,-4.39607078277887,44.9008998043053,511603400
12/07/2016 05:00,-4.590280424,44.7185618,-5.1431005,43.9532775,-4.590395,44.70875,-4.03377975,45.638705,-4.57745919765166,44.4050684931507,511603400
12/08/2016 05:00,-4.347084697,44.79003265,-4.8818835,44.1235975,-4.34793,44.7823,-3.795908,45.6984075,-4.29878931506849,44.7088416829746,511603400
12/09/2016 05:00,-4.136306973,44.97644574,-4.69215525,44.35549,-4.13627,44.9738,-3.5850885,45.7669125,-4.07290739726027,44.9377528375734,511603400
12/10/2016 05:00,-4.156237258,45.18219087,-4.720436,44.411195,-4.15861,45.1763,-3.62345675,45.9233,-4.07609888454012,45.1384178082192,511603400
12/11/2016 05:00,-4.483964341,45.32373715,-5.02817025,44.4584775,-4.484345,45.3231,-3.9413395,46.1296025,-4.53765600782779,45.1515203522505,511603400
12/12/2016 05:00,-4.954867876,45.36066809,-5.50765725,44.4737,-4.954275,45.3621,-4.42698825,46.2807075,-4.93709467710372,45.4002424657534,511603400
12/13/2016 05:00,-4.805656695,45.33776125,-5.3315415,44.4437875,-4.806625,45.32715,-4.27191925,46.323105,-4.85356426614481,45.2068978473581,511603400
12/14/2016 05:00,-4.323733353,45.3556816,-4.85927,44.5419925,-4.324045,45.3513,-3.7872475,46.2496025,-4.29591084148728,45.3254673189824,511603400
12/15/2016 05:00,-4.237330878,45.43858955,-4.78966025,44.6221,-4.23483,45.4502,-3.69930825,46.306,-4.19510853228963,45.4905718199609,511603400
12/16/2016 05:00,-3.997394748,45.5268199,-4.5653525,44.7454925,-3.99519,45.5272,-3.4728285,46.317505,-4.07030504892368,45.2750800391389,511603400
12/17/2016 05:00,-3.645498119,45.66574652,-4.20335475,44.9200825,-3.644695,45.67145,-3.11643175,46.4502,-3.69495559686888,45.6911260273973,511603400
12/18/2016 05:00,-3.568471678,45.83905175,-4.1130615,45.11169,-3.56923,45.8387,-3.0280895,46.6091025,-3.597785518591,45.9472643835616,511603400
12/19/2016 05:00,-3.453240222,45.99630651,-3.98622525,45.2182925,-3.454325,45.9937,-2.91047825,46.74152,-3.52097729941292,46.1031583170254,511603400
